Titre,Localisation,Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Volkswagen Touareg,"Toute la ville, Sidi Bennour",395 000 DH,2021,Automatique,Diesel,130 000 - 139 999,Volkswagen,Touareg,,,Oui,11 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Honda civic 2019 diesel,"Hay Nahda, Rabat",175 000 DH,2019,Manuelle,Diesel,150 000 - 159 999,Honda,Civic,,WW au Maroc,Non,6 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True
Mitsubishi lancer,"Toute la ville, Berrechid",48 000 DH,2005,Manuelle,Essence,180 000 - 189 999,Mitsubishi,Lancer,5.0,WW au Maroc,Non,7 CV,Excellent,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,True
Suzuki Alto,"Azli, Marrakech",38 000 DH,2008,Manuelle,Essence,Plus de 500 000,Suzuki,Alto,5.0,,Non,5 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fiat doblo,"Tanger City Center, Tanger",117 000 DH,2021,Manuelle,Diesel,80 000 - 84 999,Fiat,Doblo,5.0,WW au Maroc,Non,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hyundai i10 tt options,"Hay Mohammadi, Agadir",72 000 DH,2012,Manuelle,Essence,190 000 - 199 999,Hyundai,i10,5.0,WW au Maroc,Oui,6 CV,Excellent,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,True
Hyundai Santa Fe,"Aïn Chock, Casablanca",54 000 DH,2004,Manuelle,Diesel,Plus de 500 000,Hyundai,Santa Fe,3.0,WW au Maroc,Oui,8 CV,Très bon,False,False,True,True,True,False,True,False,False,True,False,False,True,False,True,True
skoda kodiaq,"Moujahidine, Tanger",380 000 DH,2023,Automatique,Diesel,30 000 - 34 999,Skoda,Kodiaq,5.0,WW au Maroc,Oui,8 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
dacia duster exellent état,"El Matar, Safi",185 000 DH,2021,Automatique,Diesel,60 000 - 64 999,Dacia,Duster,5.0,WW au Maroc,Oui,6 CV,Excellent,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False
Renault 19,"Hay Salam, Meknès",47 000 DH,1994,Manuelle,Diesel,90 000 - 94 999,Renault,19,,Dédouanée,Non,7 CV,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
renault scenic,"Toute la ville, Sefrou",88 000 DH,2010,Manuelle,Diesel,200 000 - 249 999,Renault,Scenic,5.0,WW au Maroc,Non,6 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
kangoo,"Afaq, Marrakech",65 000 DH,2007,Manuelle,Diesel,300 000 - 349 999,Renault,Kangoo,5.0,WW au Maroc,Non,7 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
abarth 595,"Abdelmoumen, Casablanca",170 000 DH,2018,Automatique,Essence,50 000 - 54 999,Abarth,595,3.0,WW au Maroc,Non,8 CV,Excellent,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
mercedes class a,"Najd, El Jadida",146 000 DH,2013,Automatique,Diesel,200 000 - 249 999,Mercedes-Benz,Classe A,5.0,WW au Maroc,Non,7 CV,Très bon,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True
Renault 19,"Hay Salam, Meknès",47 000 DH,1994,Manuelle,Diesel,160 000 - 169 999,Renault,19,,Dédouanée,Non,7 CV,Très bon,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Ford Kuga Diesel Automatique 2021 à Rabat,"Hassan, Rabat",280 000 DH,2021,Automatique,Diesel,65 000 - 69 999,Ford,Kuga,5.0,WW au Maroc,Oui,6 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Dacia Logan Diesel Manuelle 2018,"Toute la ville, Dcheïra El Jihadia",110 000 DH,2018,Manuelle,Diesel,120 000 - 129 999,Dacia,Logan,5.0,WW au Maroc,Non,6 CV,Très bon,True,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True
kia,"Al Fida, Casablanca",50 000 DH,2004,Manuelle,Diesel,35 000 - 39 999,Kia,Sorento,,WW au Maroc,,10 CV,Excellent,True,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True
passat 2007,"Toute la ville, Tiznit",77 000 DH,2007,Automatique,Diesel,400 000 - 449 999,Volkswagen,Passat,3.0,WW au Maroc,Non,8 CV,Très bon,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True
Touran a vendre,"Lissasfa, Casablanca",150 000 DH,2013,Automatique,Diesel,40 000 - 44 999,Volkswagen,Touran,,Dédouanée,,8 CV,Excellent,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Mini cooper,"Massira 1, Marrakech",65 000 DH,2010,Manuelle,Essence,130 000 - 139 999,Mini,Cooper,,,,8 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r4 red one,"Drissia, Tanger",13 000 DH,1983,Manuelle,Essence,Plus de 500 000,Renault,R4,,,,4 CV,Correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dacia sandiro,"Errahma, Casablanca",90 000 DH,2014,Manuelle,Diesel,10 000 - 14 999,Dacia,Sandero,5.0,WW au Maroc,Non,6 CV,Très bon,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,True
Mercedes-Benz Classe GLE Diesel Automatique 2019,"Guéliz, Marrakech",800 000 DH,2019,Automatique,Diesel,35 000 - 39 999,Mercedes-Benz,Classe GLE,5.0,WW au Maroc,Oui,11 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Seat Leon Diesel Manuelle 2014 à Rabat,"Al Irfane, Rabat",140 000 DH,2014,Manuelle,Diesel,170 000 - 179 999,Seat,Leon,5.0,WW au Maroc,Oui,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mercedes citan,"Ain El Hayani, Tanger",137 000 DH,2014,Manuelle,Diesel,180 000 - 189 999,Mercedes-Benz,207D,5.0,Dédouanée,Oui,6 CV,Excellent,True,True,True,True,True,False,True,False,True,False,True,True,True,False,False,False
peugeot 407,"Centre, Fès",65 000 DH,2007,Manuelle,Diesel,300 000 - 349 999,Peugeot,407,,Importée neuve,Non,8 CV,Très bon,True,True,True,True,True,True,False,False,True,True,False,False,True,False,True,True
Opel Corsa Diesel Manuelle 2023 à Fès,"Agdal, Fès",180 000 DH,2023,Manuelle,Diesel,0 - 4 999,Opel,Corsa,5.0,WW au Maroc,Oui,6 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mercedes-Benz  GLC300de Diesel Automatique 2020,"Autre secteur, Kénitra",570 000 DH,2020,Automatique,Diesel,160 000 - 169 999,Mercedes-Benz,300,5.0,Dédouanée,Oui,8 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Kia Carens Diesel Manuelle 2009 à Meknès,"Hamria, Meknès",78 000 DH,2009,Manuelle,Diesel,30 000 - 34 999,Kia,Carens,5.0,Dédouanée,Non,8 CV,Bon,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
volkswagen polo diesel,"Abattoirs, Agadir",105 000 DH,2015,Manuelle,Diesel,140 000 - 149 999,Volkswagen,Polo,5.0,,Non,5 CV,Très bon,False,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True
dacia lodgy,"Hay Hassani, Casablanca",110 000 DH,2016,Manuelle,Diesel,50 000 - 54 999,Dacia,Lodgy,5.0,WW au Maroc,Oui,6 CV,Excellent,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
dacia logan 2009 diesel,"Lissasfa, Casablanca",70 000 DH,2009,Manuelle,Diesel,180 000 - 189 999,Dacia,Logan,,WW au Maroc,Non,6 CV,Excellent,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Renault Kangoo Diesel Manuelle 2020 à Martil,"Toute la ville, Martil",130 000 DH,2020,Manuelle,Diesel,85 000 - 89 999,Renault,Kangoo,5.0,WW au Maroc,Non,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BMW Série 1 Diesel Manuelle 2005 à Casablanca,"Ain Sebaa, Casablanca",65 000 DH,2005,Manuelle,Diesel,160 000 - 169 999,BMW,Série 1,5.0,WW au Maroc,Non,8 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
L200 a vendre,"Autre secteur, Kénitra",110 500 DH,2013,Manuelle,Diesel,450 000 - 499 999,Mitsubishi,L200,,WW au Maroc,Non,10 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passat b6 modèle 2006,"Hay Riad, Rabat",80 000 DH,2006,Manuelle,Diesel,25 000 - 29 999,Volkswagen,Passat,5.0,WW au Maroc,Non,8 CV,Correct,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True
Dacia Duster Diesel Automatique 2018 à Rabat,"Agdal, Rabat",167 000 DH,2018,Automatique,Diesel,110 000 - 119 999,Dacia,Duster,5.0,WW au Maroc,,6 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
Citroën Berlingo,"Boustane, Oujda",48 000 DH,2002,Manuelle,Diesel,300 000 - 349 999,Citroen,Berlingo,5.0,,Non,9 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hyundai ix55 veracrus,"Ouled Oujih, Kénitra",85 000 DH,2011,Automatique,Diesel,250 000 - 299 999,Hyundai,ix55,5.0,WW au Maroc,Non,12 CV,Correct,True,True,False,True,True,True,True,False,False,True,False,True,False,True,True,True
zotye nomad Daihatsu terios 2011,"Aïn Chock, Casablanca",40 000 DH,2011,Manuelle,Essence,130 000 - 139 999,Zotye,Nomad,,,,7 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
picanto,"El Houda, Agadir",52 000 DH,2007,Manuelle,Essence,200 000 - 249 999,Kia,Picanto,5.0,WW au Maroc,Non,6 CV,Très bon,False,True,True,True,True,False,False,False,True,True,False,False,True,False,True,True
Hyundai i40 Diesel Automatique 2015,"Aïn Chock, Casablanca",127 999 DH,2015,Automatique,Diesel,60 000 - 64 999,Hyundai,i40,3.0,WW au Maroc,Non,7 CV,Excellent,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False
بيجو 205,"Amelkis, Marrakech",33 000 DH,1985,Manuelle,Essence,35 000 - 39 999,Peugeot,205,,,,7 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Peugeot patrner 2011,"Daoudiate, Marrakech",100 000 DH,2011,Manuelle,Diesel,110 000 - 119 999,Peugeot,Partner,5.0,WW au Maroc,Non,6 CV,Bon,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True
toyota tercel,"Sidi Bernoussi, Casablanca",28 000 DH,1999,Manuelle,Essence,200 000 - 249 999,Toyota,Tercel,5.0,,Non,7 CV,Correct,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Fiat Doblo Diesel Manuelle 2016 à Nador,"Aarid, Nador",85 000 DH,2016,Manuelle,Diesel,130 000 - 139 999,Fiat,Doblo,5.0,WW au Maroc,Non,7 CV,Bon,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
hyundai grand i10,"Mont fleuri, Fès",140 000 DH,2022,Automatique,Essence,20 000 - 24 999,Hyundai,i10,5.0,WW au Maroc,Non,7 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
Audi s7,"Allal El Fassi, Marrakech",160 000 DH,2011,Automatique,Diesel,180 000 - 189 999,Audi,A7,5.0,Dédouanée,Non,12 CV,Très bon,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
toyota tercel,"Sidi Bernoussi, Casablanca",28 000 DH,1999,Manuelle,Essence,200 000 - 249 999,Toyota,Tercel,5.0,,Non,7 CV,Correct,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Volkswagen caddy,"Centre, Fès",123 000 DH,2014,Manuelle,Diesel,200 000 - 249 999,Volkswagen,Caddy,5.0,WW au Maroc,Non,6 CV,Très bon,True,True,True,True,False,False,True,False,False,True,False,False,True,False,True,True
Kadjar tout options 6ch,"Toute la ville, Nouaceur",195 000 DH,2020,Manuelle,Diesel,85 000 - 89 999,Renault,Kadjar,5.0,WW au Maroc,Oui,6 CV,Excellent,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True
touareg V6,"Boustane, Oujda",70 000 DH,2006,Automatique,Diesel,250 000 - 299 999,Volkswagen,Touareg,5.0,Dédouanée,Non,12 CV,Excellent,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Fiat Siena Diesel Manuelle 2002 à Casablanca,"Bournazil, Casablanca",36 000 DH,2002,Manuelle,Diesel,0 - 4 999,Fiat,Siena,5.0,WW au Maroc,Non,7 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Renault Kangoo Diesel Manuelle 2015 à Taroudant,"Toute la ville, Taroudant",120 000 DH,2015,Manuelle,Diesel,160 000 - 169 999,Renault,Kangoo,5.0,,Non,6 CV,Très bon,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False
Renault R4 Essence Manuelle 1990 à Ouarzazate,"Toute la ville, Ouarzazate",30 000 DH,1990,Manuelle,Essence,110 000 - 119 999,Renault,R4,5.0,Dédouanée,Non,4 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fiat Doblo comerce clima,"Toute la ville, Fquih Ben Saleh",88 000 DH,2017,Manuelle,Diesel,160 000 - 169 999,Fiat,Doblo,5.0,WW au Maroc,Oui,5 CV,Très bon,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,True
tiguan,"Assif, Marrakech",180 000 DH,2012,Manuelle,Diesel,200 000 - 249 999,Volkswagen,Tiguan,5.0,Dédouanée,Non,8 CV,Excellent,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,True
BMW Serie 2 220d Model 2018,"Ville verte, Bouskoura",230 000 DH,2018,Automatique,Diesel,120 000 - 129 999,BMW,Série 2,3.0,WW au Maroc,Oui,8 CV,Très bon,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True
Mercedes-Benz Classe CLA Diesel Automatique 2016,"Centre ville, Tanger",200 000 DH,2016,Automatique,Diesel,140 000 - 149 999,Mercedes-Benz,Classe CLA,5.0,WW au Maroc,Oui,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dacia Sandero Diesel Manuelle 2020 à Tanger,"Achakar, Tanger",122 000 DH,2020,Manuelle,Diesel,170 000 - 179 999,Dacia,Sandero,5.0,WW au Maroc,Oui,6 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Citroën nemo,"Toute la ville, El Hajeb",84 000 DH,2013,Manuelle,Diesel,350 000 - 399 999,Citroen,Nemo,5.0,WW au Maroc,Non,6 CV,Très bon,True,False,True,False,True,False,True,True,False,False,False,True,False,False,True,True
Audi A4 Diesel Automatique 2007 à Bouskoura,"Sidi Maarouf, Casablanca",77 000 DH,2007,Automatique,Diesel,250 000 - 299 999,Audi,A4,5.0,WW au Maroc,Non,8 CV,Correct,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,True
Volkswagen Golf 7 Diesel Automatique 2019 à Agadir,"Autre secteur, Agadir",188 000 DH,2019,Automatique,Diesel,130 000 - 139 999,Volkswagen,Golf 7,5.0,WW au Maroc,Oui,8 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Opel Astra Diesel Manuelle 2012 à Casablanca,"Ain Sebaa, Casablanca",98 000 DH,2012,Manuelle,Diesel,300 000 - 349 999,Opel,Astra,5.0,WW au Maroc,Non,7 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEGANE 3,"Sidi Bernoussi, Casablanca",105 000 DH,2010,Manuelle,Diesel,150 000 - 159 999,Renault,Megane,,Importée neuve,,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Renault Scenic diesel manuelle 2000 a Marrakech,"Route de Tamansourt, Marrakech",55 000 DH,2000,Manuelle,Diesel,100 000 - 109 999,Renault,Scenic,5.0,Dédouanée,Oui,7 CV,Bon,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
Kia Carens Diesel Manuelle 2006 à Rabat,"Agdal, Rabat",49 000 DH,2006,Manuelle,Diesel,200 000 - 249 999,Kia,Carens,5.0,,,8 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dacia Dokker Diesel Manuelle 2021 à Ouarzazate,"Toute la ville, Ouarzazate",125 000 DH,2021,Manuelle,Diesel,110 000 - 119 999,Dacia,Dokker,5.0,WW au Maroc,Oui,6 CV,Très bon,True,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True
Volkswagen Golf 6 Diesel Manuelle 2009,"Toute la ville, Béni Mellal",140 000 DH,2009,Manuelle,Diesel,300 000 - 349 999,Volkswagen,Golf 6,5.0,Dédouanée,Non,8 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
fiesta 2020,"Aida, Tanger",130 000 DH,2020,Manuelle,Diesel,70 000 - 74 999,Ford,Fiesta,5.0,WW au Maroc,Oui,6 CV,Très bon,True,True,False,True,True,False,False,False,True,True,False,False,True,False,True,True
Toyota Auris Diesel Manuelle 2008 à Ouarzazate,"Toute la ville, Ouarzazate",90 000 DH,2008,Manuelle,Diesel,200 000 - 249 999,Toyota,Auris,5.0,WW au Maroc,Non,5 CV,Très bon,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True
peugeot 205,"Aïn Chock, Casablanca",32 000 DH,1986,Manuelle,Diesel,0 - 4 999,Peugeot,205,5.0,Dédouanée,,6 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passat Limousin B7,"Autre secteur, Meknès",142 000 DH,2011,Manuelle,Diesel,250 000 - 299 999,Volkswagen,Passat,5.0,,Oui,6 CV,Très bon,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
peugeot,"Toute la ville, Ouarzazate",60 000 DH,2014,Manuelle,Essence,180 000 - 189 999,Peugeot,301,5.0,WW au Maroc,Non,7 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Renault scenic,"Route de Tamansourt, Marrakech",55 000 DH,2000,Manuelle,Diesel,100 000 - 109 999,Renault,Scenic,5.0,Dédouanée,Oui,7 CV,Excellent,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
ڤولزڤاڭن توران ديزل أوتوماتيك 2016 في بيوكرة,"Toute la ville, Biougra",180 000 DH,2016,Automatique,Diesel,350 000 - 399 999,Volkswagen,Touran,5.0,Importée neuve,Non,6 CV,Excellent,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True
Renault 19,"Autre secteur, Fès",39 000 DH,1994,Manuelle,Diesel,100 000 - 109 999,Renault,19,5.0,Dédouanée,Non,7 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Renault Mégane modèle 2019,"Route de Ceuta, Tétouan",159 000 DH,2019,Manuelle,Diesel,140 000 - 149 999,Renault,Megane,5.0,WW au Maroc,Oui,6 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BMW Série 3 Diesel Manuelle 2011 à Ifrane,"Autre secteur, Ifrane",126 000 DH,2011,Manuelle,Diesel,200 000 - 249 999,BMW,Série 3,5.0,WW au Maroc,Non,8 CV,Très bon,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True
peugeot,"Toute la ville, Ouarzazate",60 000 DH,2014,Manuelle,Essence,180 000 - 189 999,Peugeot,301,5.0,,Non,7 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
سيارة للبيع كيا سورينتو 2007,"Corniche, El Jadida",60 000 DH,2007,Manuelle,Diesel,10 000 - 14 999,Kia,Sorento,,Dédouanée,,10 CV,Très bon,True,False,True,False,True,False,False,False,True,False,False,False,True,True,True,True
Chevrolet Aveo Essence Manuelle 2006 à Casablanca,"Maarif, Casablanca",63 000 DH,2006,Manuelle,Essence,25 000 - 29 999,Chevrolet,Aveo,5.0,WW au Maroc,Non,9 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dacia logan,"Errahma, Casablanca",82 000 DH,2016,Manuelle,Diesel,200 000 - 249 999,Dacia,Logan,5.0,WW au Maroc,Non,6 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Renault Kangoo  Mohammedia,"El Alia, Mohammedia",63 000 DH,2005,Manuelle,Diesel,400 000 - 449 999,Renault,Kangoo,,WW au Maroc,Oui,7 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uno,"Toute la ville, Ain Aouda",26 000 DH,2002,Manuelle,Essence,200 000 - 249 999,Fiat,Uno,5.0,,Non,6 CV,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Peugeot 206 diesel,"Ain Sebaa, Casablanca",43 000 DH,2001,Manuelle,Diesel,200 000 - 249 999,Peugeot,206,,,,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
palio,"Hay Mohammadi, Casablanca",24 000 DH,2000,Manuelle,Essence,90 000 - 94 999,Fiat,Palio,5.0,,Non,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
focus,"Sidi Maarouf, Casablanca",138 000 DH,2017,Manuelle,Diesel,130 000 - 139 999,Ford,Focus,5.0,WW au Maroc,,6 CV,Très bon,False,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False
fiat tipo 1.6,"Autre secteur, Marrakech",128 000 DH,2019,Manuelle,Diesel,140 000 - 149 999,Fiat,Tipo,5.0,Dédouanée,,6 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
hyundai i10,"Hamria, Meknès",71 000 DH,2016,Manuelle,Essence,75 000 - 79 999,Hyundai,i10,5.0,WW au Maroc,Non,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Seat Leon Diesel Manuelle 2018 à Casablanca,"Sidi Bernoussi, Casablanca",142 000 DH,2018,Manuelle,Diesel,150 000 - 159 999,Seat,Leon,5.0,WW au Maroc,Non,6 CV,Excellent,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True
fiat  punto,"Toute la ville, Demnate",35 000 DH,1997,Manuelle,Diesel,250 000 - 299 999,Fiat,Punto,5.0,Dédouanée,Non,7 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hyundai Creta Diesel Manuelle 2020 à Casablanca,"Casablanca Finance City, Casablanca",210 000 DH,2020,Manuelle,Diesel,35 000 - 39 999,Hyundai,Creta,5.0,WW au Maroc,Oui,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Audi A5 Diesel Automatique 2011 à Casablanca,"Sbata, Casablanca",100 000 DH,2011,Automatique,Diesel,200 000 - 249 999,Audi,A5,5.0,WW au Maroc,Non,12 CV,Très bon,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True
Seat Leon Diesel Manuelle 2018 à Marrakech,"Targa, Marrakech",195 000 DH,2018,Manuelle,Diesel,150 000 - 159 999,Seat,Leon,5.0,WW au Maroc,Non,8 CV,Excellent,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True
Ford Mondeo Diesel Manuelle 1998 à Benslimane,"Al Filline, Benslimane",40 000 DH,1998,Manuelle,Diesel,200 000 - 249 999,Ford,Mondeo,5.0,WW au Maroc,Non,7 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Volkswagen Golf 4 Diesel Manuelle 2000 à Marrakech,"Annakhil, Marrakech",73 000 DH,2000,Manuelle,Diesel,30 000 - 34 999,Volkswagen,Golf 4,5.0,Dédouanée,Non,8 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
renault express tres bonne etat,"Toute la ville, Nouaceur",139 000 DH,2021,Manuelle,Diesel,110 000 - 119 999,Renault,Express,3.0,WW au Maroc,Oui,6 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Seat Ibiza Diesel Manuelle 2022 à Casablanca,"Aïn Chock, Casablanca",199 000 DH,2022,Manuelle,Diesel,80 000 - 84 999,Seat,Ibiza,,WW au Maroc,,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
toyota hilux,"Ouled Oujih, Kénitra",105 000 DH,2007,Manuelle,Diesel,Plus de 500 000,Toyota,Hilux,,WW au Maroc,Non,12 CV,Excellent,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
Porsche 718 Cayman Diesel Automatique 2017,"2 Mars, Casablanca",450 000 DH,2017,Automatique,Diesel,140 000 - 149 999,Porsche,718 Cayman,5.0,WW au Maroc,Oui,12 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
peugeot  teepe,"Daoudiate, Marrakech",80 000 DH,2011,Manuelle,Diesel,200 000 - 249 999,Peugeot,Tepee,5.0,WW au Maroc,Non,6 CV,Très bon,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True
Dacia Sandero Diesel Manuelle 2014 à Laâyoune,"Toute la ville, Laâyoune",85 000 DH,2014,Manuelle,Diesel,190 000 - 199 999,Dacia,Sandero,5.0,WW au Maroc,Non,6 CV,Très bon,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True
Mercedes GLC 220D Coupe,"Agdal, Rabat",700 000 DH,2020,Automatique,Diesel,150 000 - 159 999,Mercedes-Benz,Classe GLC,5.0,Dédouanée,Non,8 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Volkswagen Golf 2 Diesel Manuelle 1985 à Tiznit,"Toute la ville, Tiznit",42 000 DH,1985,Manuelle,Diesel,20 000 - 24 999,Volkswagen,Golf 2,5.0,Dédouanée,Non,6 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tiguan Rline,"Centre, Kénitra",355 000 DH,2019,Automatique,Diesel,170 000 - 179 999,Volkswagen,Tiguan,5.0,Dédouanée,Non,8 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
fiesta,"Errahma, Casablanca",68 000 DH,2012,Manuelle,Essence,190 000 - 199 999,Ford,Fiesta,5.0,WW au Maroc,Non,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
volkswagen golf 2.0TDI,"Bir Rami, Kénitra",225 000 DH,2019,Automatique,Diesel,120 000 - 129 999,Volkswagen,Golf 7,5.0,,,8 CV,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
mercede 250,"Toute la ville, Khouribga",42 000 DH,1992,Manuelle,Diesel,250 000 - 299 999,Mercedes-Benz,250,,Dédouanée,,10 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
kangoo 2011,"Toute la ville, Berrechid",78 000 DH,2011,Manuelle,Diesel,300 000 - 349 999,Renault,Kangoo,5.0,WW au Maroc,Non,6 CV,Très bon,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
